gene,module,cell_type,tissue,regulation
GeneDown100,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown101,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown102,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown103,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown104,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown105,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown106,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown107,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown108,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown109,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown110,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown111,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown112,Common down,Cort,Pituitary,Unchanged
GeneDown113,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown114,Common down,Cort,Pituitary,Unchanged
GeneDown115,Common down,Cort,Pituitary,Unchanged
GeneDown116,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown117,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown118,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown119,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown120,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown121,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown122,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown123,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown124,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown125,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown126,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown127,Common down,Cort,Pituitary,Unchanged
GeneDown128,Common down,Cort,Pituitary,Unchanged
GeneDown129,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown130,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown131,Common down,Cort,Pituitary,Unchanged
GeneDown132,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown133,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown134,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown135,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown136,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown137,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown138,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown139,Common down,Cort,Pituitary,Unchanged
GeneDown140,Common down,Cort,Pituitary,Unchanged
GeneDown141,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown142,Common down,Cort,Pituitary,Unchanged
GeneDown143,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown144,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown145,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown146,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown147,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown148,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown149,Common down,Cort,Pituitary,Unchanged
GeneDown150,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown151,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown152,Common down,Cort,Pituitary,Unchanged
GeneDown153,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown154,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown155,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown156,Common down,Cort,Pituitary,Unchanged
GeneDown157,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown158,Common down,Cort,Pituitary,Unchanged
GeneDown159,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown160,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown161,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown162,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown163,Common down,Cort,Pituitary,Unchanged
GeneDown164,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown165,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown166,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown167,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown168,Common down,Cort,Pituitary,Unchanged
GeneDown169,Common down,Cort,Pituitary,Unchanged
GeneDown170,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown171,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown172,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown173,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown174,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown175,Common down,Cort,Pituitary,Unchanged
GeneDown176,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown177,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown178,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown179,Common down,Cort,Pituitary,Unchanged
GeneDown180,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown181,Common down,Cort,Pituitary,Unchanged
GeneDown182,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown183,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown184,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown185,Common down,Cort,Pituitary,Unchanged
GeneDown186,Common down,Cort,Pituitary,Unchanged
GeneDown187,Common down,Cort,Pituitary,Unchanged
GeneDown188,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown189,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown190,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown191,Common down,Cort,Pituitary,Unchanged
GeneDown192,Common down,Cort,Pituitary,Unchanged
GeneDown193,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown194,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown195,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown196,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown197,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown198,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown199,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown200,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown201,Common down,Cort,Pituitary,Unchanged
GeneDown202,Common down,Cort,Pituitary,Unchanged
GeneDown203,Common down,Cort,Pituitary,Unchanged
GeneDown204,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown205,Common down,Cort,Pituitary,Unchanged
GeneDown206,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown207,Common down,Cort,Pituitary,Unchanged
GeneDown208,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown209,Common down,Cort,Pituitary,Unchanged
GeneDown210,Common down,Cort,Pituitary,Unchanged
GeneDown211,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown212,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown213,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown214,Common down,Cort,Pituitary,Unchanged
GeneDown215,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown216,Common down,Cort,Pituitary,Unchanged
GeneDown217,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown218,Common down,Cort,Pituitary,Unchanged
GeneDown219,Common down,Cort,Pituitary,Unchanged
GeneDown220,Common down,Cort,Pituitary,Unchanged
GeneDown221,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown222,Common down,Cort,Pituitary,Unchanged
GeneDown223,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown224,Common down,Cort,Pituitary,Unchanged
GeneDown225,Common down,Cort,Pituitary,Unchanged
GeneDown226,Common down,Cort,Pituitary,Unchanged
GeneDown227,Common down,Cort,Pituitary,Unchanged
GeneDown228,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown229,Common down,Cort,Pituitary,Unchanged
GeneDown230,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown231,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown232,Common down,Cort,Pituitary,Unchanged
GeneDown233,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown234,Common down,Cort,Pituitary,Unchanged
GeneDown235,Common down,Cort,Pituitary,Unchanged
GeneDown236,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown237,Common down,Cort,Pituitary,Unchanged
GeneDown238,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown239,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown240,Common down,Cort,Pituitary,Unchanged
GeneDown241,Common down,Cort,Pituitary,Unchanged
GeneDown242,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown243,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown244,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown245,Common down,Cort,Pituitary,Unchanged
GeneDown246,Common down,Cort,Pituitary,Unchanged
GeneDown247,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown248,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown249,Common down,Cort,Pituitary,Unchanged
GeneDown250,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown251,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown252,Common down,Cort,Pituitary,Unchanged
GeneDown253,Common down,Cort,Pituitary,Unchanged
GeneDown254,Common down,Cort,Pituitary,Upregulated in T1DM
GeneDown255,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown256,Common down,Cort,Pituitary,Unchanged
GeneDown257,Common down,Cort,Pituitary,Unchanged
GeneDown258,Common down,Cort,Pituitary,Unchanged
GeneDown259,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown260,Common down,Cort,Pituitary,Unchanged
GeneDown261,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown262,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown263,Common down,Cort,Pituitary,Unchanged
GeneDown264,Common down,Cort,Pituitary,Unchanged
GeneDown265,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown266,Common down,Cort,Pituitary,Unchanged
GeneDown267,Common down,Cort,Pituitary,Unchanged
GeneDown268,Common down,Cort,Pituitary,Unchanged
GeneDown269,Common down,Cort,Pituitary,Unchanged
GeneDown270,Common down,Cort,Pituitary,Unchanged
GeneDown271,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown272,Common down,Cort,Pituitary,Unchanged
GeneDown273,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown274,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown275,Common down,Cort,Pituitary,Unchanged
GeneDown276,Common down,Cort,Pituitary,Unchanged
GeneDown277,Common down,Cort,Pituitary,Unchanged
GeneDown278,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown279,Common down,Cort,Pituitary,Unchanged
GeneDown280,Common down,Cort,Pituitary,Unchanged
GeneDown281,Common down,Cort,Pituitary,Unchanged
GeneDown282,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown283,Common down,Cort,Pituitary,Unchanged
GeneDown284,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown285,Common down,Cort,Pituitary,Unchanged
GeneDown286,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown287,Common down,Cort,Pituitary,Unchanged
GeneDown288,Common down,Cort,Pituitary,Unchanged
GeneDown289,Common down,Cort,Pituitary,Unchanged
GeneDown290,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown291,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown292,Common down,Cort,Pituitary,Unchanged
GeneDown293,Common down,Cort,Pituitary,Unchanged
GeneDown294,Common down,Cort,Pituitary,Unchanged
GeneDown295,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown296,Common down,Cort,Pituitary,Unchanged
GeneDown297,Common down,Cort,Pituitary,Unchanged
GeneDown298,Common down,Cort,Pituitary,Unchanged
GeneDown299,Common down,Cort,Pituitary,Unchanged
GeneDown300,Common down,Cort,Pituitary,Unchanged
GeneDown301,Common down,Cort,Pituitary,Unchanged
GeneDown302,Common down,Cort,Pituitary,Unchanged
GeneDown303,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown304,Common down,Cort,Pituitary,Unchanged
GeneDown305,Common down,Cort,Pituitary,Unchanged
GeneDown306,Common down,Cort,Pituitary,Unchanged
GeneDown307,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown308,Common down,Cort,Pituitary,Unchanged
GeneDown309,Common down,Cort,Pituitary,Unchanged
GeneDown310,Common down,Cort,Pituitary,Unchanged
GeneDown311,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown312,Common down,Cort,Pituitary,Unchanged
GeneDown313,Common down,Cort,Pituitary,Unchanged
GeneDown314,Common down,Cort,Pituitary,Unchanged
GeneDown315,Common down,Cort,Pituitary,Unchanged
GeneDown316,Common down,Cort,Pituitary,Unchanged
GeneDown317,Common down,Cort,Pituitary,Unchanged
GeneDown318,Common down,Cort,Pituitary,Unchanged
GeneDown319,Common down,Cort,Pituitary,Unchanged
GeneDown320,Common down,Cort,Pituitary,Unchanged
GeneDown321,Common down,Cort,Pituitary,Unchanged
GeneDown322,Common down,Cort,Pituitary,Unchanged
GeneDown323,Common down,Cort,Pituitary,Unchanged
GeneDown324,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown325,Common down,Cort,Pituitary,Unchanged
GeneDown326,Common down,Cort,Pituitary,Unchanged
GeneDown327,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown328,Common down,Cort,Pituitary,Unchanged
GeneDown329,Common down,Cort,Pituitary,Unchanged
GeneDown330,Common down,Cort,Pituitary,Unchanged
GeneDown331,Common down,Cort,Pituitary,Unchanged
GeneDown332,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown333,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown334,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown335,Common down,Cort,Pituitary,Unchanged
GeneDown336,Common down,Cort,Pituitary,Unchanged
GeneDown337,Common down,Cort,Pituitary,Unchanged
GeneDown338,Common down,Cort,Pituitary,Unchanged
GeneDown339,Common down,Cort,Pituitary,Unchanged
GeneDown340,Common down,Cort,Pituitary,Unchanged
GeneDown341,Common down,Cort,Pituitary,Unchanged
GeneDown342,Common down,Cort,Pituitary,Unchanged
GeneDown343,Common down,Cort,Pituitary,Unchanged
GeneDown344,Common down,Cort,Pituitary,Unchanged
GeneDown345,Common down,Cort,Pituitary,Unchanged
GeneDown346,Common down,Cort,Pituitary,Unchanged
GeneDown347,Common down,Cort,Pituitary,Unchanged
GeneDown348,Common down,Cort,Pituitary,Unchanged
GeneDown349,Common down,Cort,Pituitary,Unchanged
GeneDown350,Common down,Cort,Pituitary,Unchanged
GeneDown351,Common down,Cort,Pituitary,Unchanged
GeneDown352,Common down,Cort,Pituitary,Unchanged
GeneDown353,Common down,Cort,Pituitary,Unchanged
GeneDown354,Common down,Cort,Pituitary,Unchanged
GeneDown355,Common down,Cort,Pituitary,Unchanged
GeneDown356,Common down,Cort,Pituitary,Unchanged
GeneDown357,Common down,Cort,Pituitary,Unchanged
GeneDown358,Common down,Cort,Pituitary,Unchanged
GeneDown359,Common down,Cort,Pituitary,Unchanged
GeneDown360,Common down,Cort,Pituitary,Unchanged
GeneDown361,Common down,Cort,Pituitary,Unchanged
GeneDown362,Common down,Cort,Pituitary,Unchanged
GeneDown363,Common down,Cort,Pituitary,Unchanged
GeneDown364,Common down,Cort,Pituitary,Unchanged
GeneDown365,Common down,Cort,Pituitary,Unchanged
GeneDown366,Common down,Cort,Pituitary,Unchanged
GeneDown367,Common down,Cort,Pituitary,Unchanged
GeneDown368,Common down,Cort,Pituitary,Unchanged
GeneDown369,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown370,Common down,Cort,Pituitary,Unchanged
GeneDown371,Common down,Cort,Pituitary,Unchanged
GeneDown372,Common down,Cort,Pituitary,Unchanged
GeneDown373,Common down,Cort,Pituitary,Unchanged
GeneDown374,Common down,Cort,Pituitary,Unchanged
GeneDown375,Common down,Cort,Pituitary,Unchanged
GeneDown376,Common down,Cort,Pituitary,Unchanged
GeneDown377,Common down,Cort,Pituitary,Unchanged
GeneDown378,Common down,Cort,Pituitary,Unchanged
GeneDown379,Common down,Cort,Pituitary,Unchanged
GeneDown380,Common down,Cort,Pituitary,Unchanged
GeneDown381,Common down,Cort,Pituitary,Unchanged
GeneDown382,Common down,Cort,Pituitary,Unchanged
GeneDown383,Common down,Cort,Pituitary,Unchanged
GeneDown384,Common down,Cort,Pituitary,Unchanged
GeneDown385,Common down,Cort,Pituitary,Unchanged
GeneDown386,Common down,Cort,Pituitary,Unchanged
GeneDown387,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown388,Common down,Cort,Pituitary,Unchanged
GeneDown389,Common down,Cort,Pituitary,Unchanged
GeneDown390,Common down,Cort,Pituitary,Unchanged
GeneDown391,Common down,Cort,Pituitary,Unchanged
GeneDown392,Common down,Cort,Pituitary,Unchanged
GeneDown393,Common down,Cort,Pituitary,Unchanged
GeneDown394,Common down,Cort,Pituitary,Unchanged
GeneDown395,Common down,Cort,Pituitary,Unchanged
GeneDown396,Common down,Cort,Pituitary,Unchanged
GeneDown397,Common down,Cort,Pituitary,Unchanged
GeneDown398,Common down,Cort,Pituitary,Unchanged
GeneDown399,Common down,Cort,Pituitary,Unchanged
GeneDown400,Common down,Cort,Pituitary,Unchanged
GeneDown401,Common down,Cort,Pituitary,Unchanged
GeneDown402,Common down,Cort,Pituitary,Unchanged
GeneDown403,Common down,Cort,Pituitary,Unchanged
GeneDown404,Common down,Cort,Pituitary,Unchanged
GeneDown405,Common down,Cort,Pituitary,Unchanged
GeneDown406,Common down,Cort,Pituitary,Unchanged
GeneDown407,Common down,Cort,Pituitary,Unchanged
GeneDown408,Common down,Cort,Pituitary,Unchanged
GeneDown409,Common down,Cort,Pituitary,Unchanged
GeneDown410,Common down,Cort,Pituitary,Unchanged
GeneDown411,Common down,Cort,Pituitary,Unchanged
GeneDown412,Common down,Cort,Pituitary,Downregulated in T1DM
GeneDown413,Common down,Cort,Pituitary,Unchanged
GeneDown414,Common down,Cort,Pituitary,Unchanged
GeneDown415,Common down,Cort,Pituitary,Unchanged
GeneDown416,Common down,Cort,Pituitary,Unchanged
GeneDown001,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown002,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown003,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown004,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown005,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown006,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown007,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown008,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown009,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown010,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown011,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown012,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown013,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown014,Common down,Lac,Pituitary,Unchanged
GeneDown015,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown016,Common down,Lac,Pituitary,Unchanged
GeneDown017,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown018,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown019,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown020,Common down,Lac,Pituitary,Unchanged
GeneDown021,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown022,Common down,Lac,Pituitary,Unchanged
GeneDown023,Common down,Lac,Pituitary,Unchanged
GeneDown024,Common down,Lac,Pituitary,Unchanged
GeneDown025,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown026,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown027,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown028,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown029,Common down,Lac,Pituitary,Unchanged
GeneDown030,Common down,Lac,Pituitary,Unchanged
GeneDown031,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown032,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown033,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown034,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown035,Common down,Lac,Pituitary,Unchanged
GeneDown036,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown037,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown038,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown039,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown040,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown041,Common down,Lac,Pituitary,Unchanged
GeneDown042,Common down,Lac,Pituitary,Unchanged
GeneDown043,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown044,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown045,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown046,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown047,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown048,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown049,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown050,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown051,Common down,Lac,Pituitary,Upregulated in T1DM
GeneDown052,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown053,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown054,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown055,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown056,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown057,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown058,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown059,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown060,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown061,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown062,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown063,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown064,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown065,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown066,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown067,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown068,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown069,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown070,Common down,Lac,Pituitary,Unchanged
GeneDown071,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown072,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown073,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown074,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown075,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown076,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown077,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown078,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown079,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown080,Common down,Lac,Pituitary,Unchanged
GeneDown081,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown082,Common down,Lac,Pituitary,Unchanged
GeneDown083,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown084,Common down,Lac,Pituitary,Unchanged
GeneDown085,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown086,Common down,Lac,Pituitary,Unchanged
GeneDown087,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown088,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown089,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown090,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown091,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown092,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown093,Common down,Lac,Pituitary,Unchanged
GeneDown094,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown095,Common down,Lac,Pituitary,Unchanged
GeneDown096,Common down,Lac,Pituitary,Unchanged
GeneDown097,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown098,Common down,Lac,Pituitary,Unchanged
GeneDown099,Common down,Lac,Pituitary,Unchanged
GeneDown100,Common down,Lac,Pituitary,Unchanged
GeneDown101,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown102,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown103,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown104,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown105,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown106,Common down,Lac,Pituitary,Unchanged
GeneDown107,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown108,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown109,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown110,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown111,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown112,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown113,Common down,Lac,Pituitary,Unchanged
GeneDown114,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown115,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown116,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown117,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown118,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown119,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown120,Common down,Lac,Pituitary,Unchanged
GeneDown121,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown122,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown123,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown124,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown125,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown126,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown127,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown128,Common down,Lac,Pituitary,Unchanged
GeneDown129,Common down,Lac,Pituitary,Unchanged
GeneDown130,Common down,Lac,Pituitary,Unchanged
GeneDown131,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown132,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown133,Common down,Lac,Pituitary,Unchanged
GeneDown134,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown135,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown136,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown137,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown138,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown139,Common down,Lac,Pituitary,Unchanged
GeneDown140,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown141,Common down,Lac,Pituitary,Unchanged
GeneDown142,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown143,Common down,Lac,Pituitary,Unchanged
GeneDown144,Common down,Lac,Pituitary,Unchanged
GeneDown145,Common down,Lac,Pituitary,Unchanged
GeneDown146,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown147,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown148,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown149,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown150,Common down,Lac,Pituitary,Unchanged
GeneDown151,Common down,Lac,Pituitary,Unchanged
GeneDown152,Common down,Lac,Pituitary,Downregulated in T1DM
GeneDown153,Common down,Lac,Pituitary,Unchanged
GeneDown154,Common down,Lac,Pituitary,Unchanged
GeneDown155,Common down,Lac,Pituitary,Downregulated in T1DM
